ticker,print_date,session
TSLA,2025-07-23,amc
TSLA,2025-10-22,amc
TSLA,2026-01-28,amc
TSLA,2026-04-22,amc
TSLA,2026-10-21,amc
NVDA,2025-08-27,amc
NVDA,2025-11-19,amc
NVDA,2026-02-25,amc
NVDA,2026-05-27,amc
AAPL,2025-07-31,amc
AAPL,2025-10-30,amc
AAPL,2026-01-29,amc
AAPL,2026-04-30,amc
MSFT,2025-07-29,amc
MSFT,2025-10-28,amc
MSFT,2026-01-27,amc
MSFT,2026-04-28,amc
META,2025-07-30,amc
META,2025-10-29,amc
META,2026-01-28,amc
META,2026-04-29,amc
AMZN,2025-07-31,amc
AMZN,2025-10-30,amc
AMZN,2026-01-29,amc
AMZN,2026-04-30,amc
GOOGL,2025-07-22,amc
GOOGL,2025-10-28,amc
GOOGL,2026-02-03,amc
GOOGL,2026-04-28,amc
AMD,2025-07-29,amc
AMD,2025-10-28,amc
AMD,2026-01-27,amc
AMD,2026-04-28,amc
COIN,2025-07-31,amc
COIN,2025-10-30,amc
COIN,2026-02-12,amc
COIN,2026-05-07,amc
HOOD,2025-07-30,amc
HOOD,2025-10-29,amc
HOOD,2026-02-11,amc
HOOD,2026-04-29,amc
PLTR,2025-08-04,amc
PLTR,2025-11-03,amc
PLTR,2026-02-02,amc
PLTR,2026-05-04,amc
MSTR,2025-07-31,amc
MSTR,2025-10-30,amc
MSTR,2026-02-05,amc
MSTR,2026-05-01,amc
